PWSID,Supply Name,Population,2021,2022,2023,2024,2025,Total Replaced,Lead Lines,GPCL,Unknown,Total To Replace,Percent Replaced,Non-Lead,Total Lines,Exceedance,Latitude,Longitude,EPA_Link,Status Explanation,Status
MI0000110,"ALGONAC, CITY OF","4,110",,1,2,,,3,,29,"1,059","1,088",0.3%,739,"1,827",,42.63109215,-82.53261813,https://echo.epa.gov/detailed-facility-report?fid=MI0000110&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000120,ALLEGAN,"5,930",12,17,243,124,106,502,631,433,1,"1,065",32.0%,656,"1,721",,42.52938725,-85.85095054,https://echo.epa.gov/detailed-facility-report?fid=MI0000120&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000125,ALLEGAN COUNTY SERVICES CENTER,101,,,,,,,,,,,,8,8,,42.62021375,-85.84286916,https://echo.epa.gov/detailed-facility-report?fid=MI0000125&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040002,ALLEGAN MOBILE ESTATES,100,,,,,,,,,38,38,0%,4,42,,42.50977008,-85.82368521,https://echo.epa.gov/detailed-facility-report?fid=MI0040002&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000130,ALLEN PARK,"28,210",8,55,15,43,74,195,236,,,236,45.2%,"11,611","11,847",,42.25975727,-83.21058889,https://echo.epa.gov/detailed-facility-report?fid=MI0000130&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000127,ALLENDALE TOWNSHIP,"19,725",,,,,,,,,,,,"3,790","3,790",,42.96852528,-85.92232101,https://echo.epa.gov/detailed-facility-report?fid=MI0000127&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000140,"ALMA, CITY OF","9,182",,7,6,6,49,68,,115,505,620,9.9%,"2,379","2,999",,43.38332779,-84.65527638,https://echo.epa.gov/detailed-facility-report?fid=MI0000140&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000150,"ALMONT, VILLAGE OF","2,674",7,20,,3,,30,,,16,16,65.2%,"1,055","1,071",,42.91730579,-83.03962119,https://echo.epa.gov/detailed-facility-report?fid=MI0000150&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000160,"ALPENA, CITY OF","10,128",25,14,18,51,24,132,7,76,"4,022","4,105",3.1%,538,"4,643",,45.05731219,-83.454121,https://echo.epa.gov/detailed-facility-report?fid=MI0000160&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000180,ALPHA,198,,4,,,1,5,3,9,18,30,14.3%,96,126,,46.04532268,-88.3775196,https://echo.epa.gov/detailed-facility-report?fid=MI0000180&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040681,ALTO MEADOWS,250,,,,,,,,,,,,95,95,,42.85263361,-85.3851259,https://echo.epa.gov/detailed-facility-report?fid=MI0040681&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040023,AMBER ESTATES MOBILE HOME PARK,125,,,,,,,,,,,,49,49,,42.66885066,-86.00910506,https://echo.epa.gov/detailed-facility-report?fid=MI0040023&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000215,ANDELINA FARMS,156,,,,,,,,,,,,289,289,,42.15181213,-83.70474344,https://echo.epa.gov/detailed-facility-report?fid=MI0000215&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040246,ANDREWS ESTATES,178,,,,,,,,,,,,70,70,,42.2861731,-85.38962715,https://echo.epa.gov/detailed-facility-report?fid=MI0040246&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000210,ANDREWS UNIVERSITY,"3,000",,,,,,,,,,,,118,118,,41.95804863,-86.3505465,https://echo.epa.gov/detailed-facility-report?fid=MI0000210&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000220,ANN ARBOR,"118,017",112,137,103,63,77,492,,471,2,473,51.0%,"25,402","25,875",,42.27450486,-83.73111038,https://echo.epa.gov/detailed-facility-report?fid=MI0000220&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000221,ANN ARBOR TOWNSHIP,"1,338",,,,,,,,,,,,443,443,,42.36129871,-83.68729949,https://echo.epa.gov/detailed-facility-report?fid=MI0000221&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040355,APPLE CARR VILLAGE,"1,125",,,,,,,,,,,,719,719,,43.24669374,-86.11639054,https://echo.epa.gov/detailed-facility-report?fid=MI0040355&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040664,APPLE GROVE ESTATES,125,,,,,,,,,,,,50,50,,43.22067359,-85.71512448,https://echo.epa.gov/detailed-facility-report?fid=MI0040664&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040668,APPLEWOOD,75,,,,,,,,,,,,31,31,,42.22340689,-86.16553069,https://echo.epa.gov/detailed-facility-report?fid=MI0040668&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000236,ARBOR RIDGE CONDOMINIUMS,58,,,,,,,,,,,,12,12,2019,42.24120436,-84.49845386,https://echo.epa.gov/detailed-facility-report?fid=MI0000236&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0004778,ARBOR VIEW,25,,,,,,,,,,,,14,14,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040223,ARBOR VILLAGE,670,,,,,,,,,,,,268,268,,42.22840028,-84.55361898,https://echo.epa.gov/detailed-facility-report?fid=MI0040223&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0066355,ARGENTINE CARE CENTER,60,,,,,,,,,2,2,0%,,2,,42.79104439,-83.84156973,https://echo.epa.gov/detailed-facility-report?fid=MI0066355&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040356,ARLINGTON WOODS,"1,650",,,,,,,,,,,,660,660,,43.20929818,-86.14799181,https://echo.epa.gov/detailed-facility-report?fid=MI0040356&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000240,"ARMADA, VILLAGE OF","1,794",,4,,,,4,151,3,,154,2.5%,459,613,,42.83621201,-82.89857401,https://echo.epa.gov/detailed-facility-report?fid=MI0000240&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000242,ARTESIAN SPRINGS RV RESORT,61,,,,,,,,,,,,20,20,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000245,ASH TOWNSHIP,"5,959",2,,2,1,5,10,49,3,905,957,1.0%,"1,484","2,441",,42.05860723,-83.37073586,https://echo.epa.gov/detailed-facility-report?fid=MI0000245&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000250,"ASHLEY, VILLAGE OF",526,,,,,,,,,,,,245,245,,43.18661937,-84.47730942,https://echo.epa.gov/detailed-facility-report?fid=MI0000250&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000260,ATHENS,956,1,5,13,10,18,47,,127,7,134,26.0%,313,447,,42.09309742,-85.26368723,https://echo.epa.gov/detailed-facility-report?fid=MI0000260&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000285,AU GRES TOWNSHIP,66,,,,,,,,,,,,38,38,,44.04763671,-83.6932066,https://echo.epa.gov/detailed-facility-report?fid=MI0000285&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000280,"AU GRES, CITY OF",945,,,,,,,,,,,,582,,,44.04407674,-83.69037171,https://echo.epa.gov/detailed-facility-report?fid=MI0000280&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0000290,AU SABLE TOWNSHIP,"2,370",,,,,,,,,,,,"1,340","1,340",,44.38646017,-83.33356643,https://echo.epa.gov/detailed-facility-report?fid=MI0000290&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000300,AUBURN,"2,087",,,,,,,,,757,757,0%,196,953,,43.59988993,-84.09276037,https://echo.epa.gov/detailed-facility-report?fid=MI0000300&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005450,AUBURN HILLS,"21,412",,,,,,,,,,,,"5,630","5,630",,42.68074129,-83.24543955,https://echo.epa.gov/detailed-facility-report?fid=MI0005450&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000320,AUGUSTA,885,7,,5,10,1,23,10,12,,22,51.1%,363,385,,42.33819134,-85.35162608,https://echo.epa.gov/detailed-facility-report?fid=MI0000320&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000321,AUGUSTA TOWNSHIP,"3,907",,,,,,,,,,,,"1,537","1,537",,42.13304792,-83.58034254,https://echo.epa.gov/detailed-facility-report?fid=MI0000321&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000324,AUSABLE VALLEY COMMUNITY,147,,,,,,,,,,,,12,12,2019,44.71849261,-84.0410189,https://echo.epa.gov/detailed-facility-report?fid=MI0000324&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000322,AUSTIN COMMONS II,280,,,,,,,,,,,,112,112,,42.15752313,-83.80163876,https://echo.epa.gov/detailed-facility-report?fid=MI0000322&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0001910,AUTUMN HILLS,50,,,,,,,,,,,,5,5,,41.98614097,-86.07083994,https://echo.epa.gov/detailed-facility-report?fid=MI0001910&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040074,AVRA ESTATES,87,,,,,,,,,,,,61,61,,41.84247451,-85.03141275,https://echo.epa.gov/detailed-facility-report?fid=MI0040074&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000340,BAD AXE,"3,129",,,,,2,2,,,,,100.0%,337,337,,43.80428625,-82.99883428,https://echo.epa.gov/detailed-facility-report?fid=MI0000340&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000347,BAIR LAKE BIBLE CAMP,372,,,,,,,,2,,2,0%,21,23,,,,," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000355,BALDWIN TOWNSHIP,650,,,,,,,,,,,,404,404,,44.33094198,-83.65494983,https://echo.epa.gov/detailed-facility-report?fid=MI0000355&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000350,"BALDWIN, VILLAGE OF","1,060",,,116,10,53,179,23,5,51,79,69.4%,328,407,,43.9021118,-85.83492661,https://echo.epa.gov/detailed-facility-report?fid=MI0000350&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0040041,BALTIMORE TERRACE,155,,,,,,,,,,,,65,65,,42.5813113,-85.26422587,https://echo.epa.gov/detailed-facility-report?fid=MI0040041&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000370,"BANCROFT, VILLAGE OF",616,,,,,1,1,,,71,71,1.4%,126,197,,42.87253909,-84.06235926,https://echo.epa.gov/detailed-facility-report?fid=MI0000370&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000380,BANGOR,"2,000",,,,,,,2,56,617,675,0%,98,773,,42.3126575,-86.10967661,https://echo.epa.gov/detailed-facility-report?fid=MI0000380&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000390,BANGOR TOWNSHIP,"11,999",,5,,,,5,12,12,,24,17.2%,"4,746","4,770",,43.60117515,-83.8845006,https://echo.epa.gov/detailed-facility-report?fid=MI0000390&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000400,BANGORMONITOR METRO DISTRICT,"2,971",,,,,,,,,8,8,0%,"1,242","1,250",,43.59154321,-83.96739918,https://echo.epa.gov/detailed-facility-report?fid=MI0000400&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000410,BARAGA,"2,182",,,,,,,,,92,92,0%,655,747,,46.78157134,-88.49504248,https://echo.epa.gov/detailed-facility-report?fid=MI0000410&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000418,BARN SWALLOW APARTMENTS,50,,,,,,,,,,,,1,1,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000420,BARODA,910,,,,2,,2,,6,282,288,0.7%,57,345,,41.95564524,-86.48731269,https://echo.epa.gov/detailed-facility-report?fid=MI0000420&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040092,BARRON LAKE/ROSEBUSH,114,,,,,,,,,,,,49,49,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000426,BARRY TOWNSHIP,260,,,,,,,,,,,,101,101,,42.49820828,-85.40682781,https://echo.epa.gov/detailed-facility-report?fid=MI0000426&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040042,BARRY'S RESORT,125,,,,,,,,,,,,53,53,2020,42.61245025,-85.21902008,https://echo.epa.gov/detailed-facility-report?fid=MI0040042&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000430,BARTON HILLS,450,2,1,3,1,3,10,,3,90,93,9.7%,48,141,,42.32210158,-83.76338999,https://echo.epa.gov/detailed-facility-report?fid=MI0000430&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040005,BASELINE MOBILE HOME PARK,188,,,,,,,,,,,,75,75,,42.4240803,-85.85905216,https://echo.epa.gov/detailed-facility-report?fid=MI0040005&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000440,BATES TOWNSHIP,921,,,,,,,,,,,,612,612,,46.13844569,-88.5871516,https://echo.epa.gov/detailed-facility-report?fid=MI0000440&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000450,BATTLE CREEK  VERONA SYSTEM,"43,975",227,194,330,254,425,1430,"3,614",167,"7,066","10,847",11.6%,"7,936","18,783",,42.29916454,-85.22937542,https://echo.epa.gov/detailed-facility-report?fid=MI0000450&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006077,BAVARIAN SOFTWATER VILLAGE,420,,,,,,,,,,,,48,48,,42.74232495,-83.46507791,https://echo.epa.gov/detailed-facility-report?fid=MI0006077&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000465,BAY AREA WATER SYSTEM,,,,,,,,,,,,,,,,,,,No service lines; wholesale only,No service lines; wholesale only
MI0000470,"BAY CITY, CITY OF","32,255",278,523,475,628,689,2593,"3,323",879,,"4,202",38.2%,"9,826","14,028",,43.61697345,-83.89720103,https://echo.epa.gov/detailed-facility-report?fid=MI0000470&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000485,BAY CO. DEPT OF WATER & SEWER,"8,465",,4,4,,,8,9,7,,16,33.3%,"3,029","3,045",,43.6280191,-83.88176549,https://echo.epa.gov/detailed-facility-report?fid=MI0000485&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000487,BAY HARBOR CLUB,40,,,,,,,,,,,,20,20,,45.07562881,-85.3581293,https://echo.epa.gov/detailed-facility-report?fid=MI0000487&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040128,BAY SHORE ESTATES,208,,,,,,,,,,,,84,84,,45.35732999,-85.09405534,https://echo.epa.gov/detailed-facility-report?fid=MI0040128&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000490,BAY VIEW ASSOCIATION,831,,,,,,,,,,,,482,482,,45.36764537,-84.93077498,https://echo.epa.gov/detailed-facility-report?fid=MI0000490&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040190,BAYSIDE (DBA CONTINENTAL MHP),158,,,,,,,,,,,,74,74,,43.75828067,-83.42726845,https://echo.epa.gov/detailed-facility-report?fid=MI0040190&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000501,BEACH HOUSE APARTMENTS,25,,,,,,,,,,,,17,,,,,,Inventory not received or data not complete,Inventory not received or incomplete
MI0000503,BEACON HOME AT COLBY,36,,,,,,,,,,,,1,1,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040554,BEAN CREEK RESORT,112,,,,,,,,,,,,73,73,,41.97914568,-84.30122568,https://echo.epa.gov/detailed-facility-report?fid=MI0040554&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000505,BEAR CREEK ESTATES CONDOMINIUM,210,,,,,,,,,,,,35,35,,45.34594431,-84.96122625,https://echo.epa.gov/detailed-facility-report?fid=MI0000505&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000508,BEAR CREEK VILLA,25,,,,,,,,,,,,21,21,,42.84338653,-85.24351209,https://echo.epa.gov/detailed-facility-report?fid=MI0000508&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000510,"BEAR LAKE, VILLAGE OF",318,,1,,2,,3,,146,,146,2.0%,52,198,,44.42122821,-86.15437887,https://echo.epa.gov/detailed-facility-report?fid=MI0000510&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000514,BEAVER CREEK RESORT,76,,,,,,,,,,,,40,40,,44.96411175,-84.70333331,https://echo.epa.gov/detailed-facility-report?fid=MI0000514&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000513,BEAVER CREEKGRAYLING TOWNSHIPS UA,25,,,,,,,,,,,,3,3,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000517,BEAVER ROAD AREA WATER ASSOC.,829,,,,,,,,,,,,283,283,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000518,BEAVER TOWNSHIP,"1,211",,,,,,,,,,,,471,471,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000520,BEAVERTON,"1,071",,,,,,,,,361,361,0%,91,452,,43.881007,-84.49206397,https://echo.epa.gov/detailed-facility-report?fid=MI0000520&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040080,BEDFORD HILLS,850,,,,,,,,,,,,339,339,,42.35901827,-85.26833907,https://echo.epa.gov/detailed-facility-report?fid=MI0040080&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0006435,BEDFORD MEADOWS,156,,,,,,,,,,,,7,7,,41.73984749,-83.65646459,https://echo.epa.gov/detailed-facility-report?fid=MI0006435&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000540,BEECHER METROPOLITAN DISTRICT,"9,400",,,,,,,,,,,,"5,063","5,063",,43.09310938,-83.71315509,https://echo.epa.gov/detailed-facility-report?fid=MI0000540&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0006627,BEECHWOOD HILLS  TIMBER RIDGE,160,,,,,,,,,,,,64,64,,42.2480026,-86.35829659,https://echo.epa.gov/detailed-facility-report?fid=MI0006627&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000560,BELDING,"5,769",84,94,91,189,265,723,,884,,884,45.0%,"1,001","1,885",,43.09839245,-85.22904784,https://echo.epa.gov/detailed-facility-report?fid=MI0000560&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000570,"BELLAIRE, VILLAGE OF","1,086",16,16,6,4,,42,361,10,,371,10.2%,218,589,,44.97284782,-85.20770362,https://echo.epa.gov/detailed-facility-report?fid=MI0000570&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000580,BELLEVILLE,"3,964",,,,,,, ,,,,,,,,42.20104314,-83.48355499,https://echo.epa.gov/detailed-facility-report?fid=MI0000580&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040081,BELLEVUE MOBILE HOME PARK,190,,,,,,,,,,,,14,14,,42.42029698,-85.00675536,https://echo.epa.gov/detailed-facility-report?fid=MI0040081&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000590,"BELLEVUE, VILLAGE OF","1,282",2,,1,2,3,8,3,7,,10,44.4%,524,534,,42.44487466,-85.01852963,https://echo.epa.gov/detailed-facility-report?fid=MI0000590&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000605,BENTON CHARTER TOWNSHIP,"6,768",1,2,1,5,59,68,33,7,71,111,38.0%,"2,646","2,757",2024,42.13794017,-86.45282372,https://echo.epa.gov/detailed-facility-report?fid=MI0000605&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000600,BENTON HARBOR,"9,103",191,3056,24,,,3271,,,,,100.0%,"4,531","4,531",2021,42.10811755,-86.44344045,https://echo.epa.gov/detailed-facility-report?fid=MI0000600&sys=SDWIS,100% replaced,100% replaced
MI0000610,BENZONIA VILLAGE OF,511,,,,5,1,6,,53,,53,10.2%,222,275,,44.61637301,-86.0984494,https://echo.epa.gov/detailed-facility-report?fid=MI0000610&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000620,BERGLAND TOWNSHIP,210,,,,,,,88,,61,149,0%,,149,,46.59444617,-89.56864215,https://echo.epa.gov/detailed-facility-report?fid=MI0000620&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000630,BERKLEY,"14,970",35,111,77,54,83,360,97,2,"5,684","5,783",5.9%,"1,125","6,908",,42.49740964,-83.1894626,https://echo.epa.gov/detailed-facility-report?fid=MI0000630&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000635,BERLIN TOWNSHIP,"9,900",,,,,,,,,,,,"2,645","2,645",,41.9981441,-83.28245575,https://echo.epa.gov/detailed-facility-report?fid=MI0000635&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000650,BERRIEN SPRINGS,"1,910",5,,17,12,46,80,132,377,,509,13.6%,271,780,,41.95475477,-86.33042848,https://echo.epa.gov/detailed-facility-report?fid=MI0000650&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000660,BESSEMER,"1,619",17,25,48,20,,110,47,,46,93,54.2%,958,"1,051",,46.48148425,-90.06112078,https://echo.epa.gov/detailed-facility-report?fid=MI0000660&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0005600,BESSEMER TOWNSHIP,551,3,,,,,3,30,,242,272,1.1%,140,412,,46.46894168,-89.99618298,https://echo.epa.gov/detailed-facility-report?fid=MI0005600&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000680,"BEULAH, VILLAGE OF",380,,,,,,,,,,,,308,308,2021,44.6417635,-86.07146137,https://echo.epa.gov/detailed-facility-report?fid=MI0000680&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000690,BEVERLY HILLS,"10,451",,,,2,2,4,,2,125,127,3.1%,"3,916","4,043",2017,42.52182277,-83.24035257,https://echo.epa.gov/detailed-facility-report?fid=MI0000690&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000705,BIG CREEK/MENTOR UTILITY AUTHORITY,622,,,,,,,,,,,,244,244,,44.6503102,-84.13502694,https://echo.epa.gov/detailed-facility-report?fid=MI0000705&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000710,BIG RAPIDS,"10,403",49,,135,,6,190,,,64,64,74.8%,"2,535","2,599",,43.69135168,-85.48697236,https://echo.epa.gov/detailed-facility-report?fid=MI0000710&sys=SDWIS,"Compliant (≥20% average replacement, 2021–2024)",Compliant
MI0000715,BINGHAM FARMS,888,,,,,,,,,,,,369,369,,42.51727161,-83.27749055,https://echo.epa.gov/detailed-facility-report?fid=MI0000715&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
