PWSID,Supply Name,Status Explanation,Status Short
MI0005450,AUBURN HILLS," Inventory completed, no lead lines identified ",No lead lines
MI0001020,"BYRON, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000321,AUGUSTA TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0000324,AUSABLE VALLEY COMMUNITY," Inventory completed, no lead lines identified ",No lead lines
MI0000322,AUSTIN COMMONS II," Inventory completed, no lead lines identified ",No lead lines
MI0001910,AUTUMN HILLS," Inventory completed, no lead lines identified ",No lead lines
MI0040074,AVRA ESTATES," Inventory completed, no lead lines identified ",No lead lines
MI0000340,BAD AXE," Inventory completed, no lead lines identified ",No lead lines
MI0001030,"CADILLAC, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000355,BALDWIN TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0001040,CALUMET," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040041,BALTIMORE TERRACE," Inventory completed, no lead lines identified ",No lead lines
MI0001046,CALUMET TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001160,CARROLLTON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001230,CASS LAKESIDE SUBDIVISION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001335,CHARLEVOIX TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002745,CHARTER TOWNSHIP OF GRAND BLANC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000418,BARN SWALLOW APARTMENTS," Inventory completed, no lead lines identified ",No lead lines
MI0040339,CIRCLE DRIVE MOBILE HOME PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040092,BARRON LAKE/ROSEBUSH," Inventory completed, no lead lines identified ",No lead lines
MI0000426,BARRY TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0001490,"CLIO, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001600,CONSTANTINE," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040005,BASELINE MOBILE HOME PARK," Inventory completed, no lead lines identified ",No lead lines
MI0000440,BATES TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0040006,COUNTRY ACRES MOBILE HOME PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0006077,BAVARIAN SOFTWATER VILLAGE," Inventory completed, no lead lines identified ",No lead lines
MI0006030,"SHEPHERD, VILLAGE OF",Inventory not received or data not complete,Inventory not received or incomplete
MI0040306,COUNTRY VILLA ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001664,CROCKERY TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000487,BAY HARBOR CLUB," Inventory completed, no lead lines identified ",No lead lines
MI0040128,BAY SHORE ESTATES," Inventory completed, no lead lines identified ",No lead lines
MI0000490,BAY VIEW ASSOCIATION," Inventory completed, no lead lines identified ",No lead lines
MI0040190,BAYSIDE (DBA CONTINENTAL MHP)," Inventory completed, no lead lines identified ",No lead lines
MI0001740,DEARBORN HEIGHTS,Inventory not received or data not complete,Inventory not received or incomplete
MI0000503,BEACON HOME AT COLBY," Inventory completed, no lead lines identified ",No lead lines
MI0040554,BEAN CREEK RESORT," Inventory completed, no lead lines identified ",No lead lines
MI0000505,BEAR CREEK ESTATES CONDOMINIUM," Inventory completed, no lead lines identified ",No lead lines
MI0000508,BEAR CREEK VILLA," Inventory completed, no lead lines identified ",No lead lines
MI0001700,CRYSTAL FALLS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000514,BEAVER CREEK RESORT," Inventory completed, no lead lines identified ",No lead lines
MI0000513,BEAVER CREEK-GRAYLING TOWNSHIPS UA," Inventory completed, no lead lines identified ",No lead lines
MI0000517,BEAVER ROAD AREA WATER ASSOC.," Inventory completed, no lead lines identified ",No lead lines
MI0000518,BEAVER TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0001773,DEERWOOD SUBDIVISION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040080,BEDFORD HILLS," Inventory completed, no lead lines identified ",No lead lines
MI0006435,BEDFORD MEADOWS," Inventory completed, no lead lines identified ",No lead lines
MI0000540,BEECHER METROPOLITAN DISTRICT," Inventory completed, no lead lines identified ",No lead lines
MI0006627,BEECHWOOD HILLS - TIMBER RIDGE," Inventory completed, no lead lines identified ",No lead lines
MI0001870,"DRYDEN, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002090,"ELK RAPIDS, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001530,COLOMA,Inventory not received or data not complete,Inventory not received or incomplete
MI0040081,BELLEVUE MOBILE HOME PARK," Inventory completed, no lead lines identified ",No lead lines
MI0002100,"ELKTON, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040649,COVENTRY WOODS MHC," Inventory completed, no lead lines identified ",No lead lines
MI0002030,EAU CLAIRE," Inventory completed, no lead lines identified ",No lead lines
MI0002120,"ELSIE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002130,"EMPIRE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002370,FORSYTH TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000635,BERLIN TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0002400,"FOWLERVILLE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002460,"FRASER, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002540,GARDEN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002659,GLENNWOODS SUBDIVISION," Inventory completed, no lead lines identified ",No lead lines
MI0002650,"GLADWIN, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000705,BIG CREEK/MENTOR UTILITY AUTHORITY," Inventory completed, no lead lines identified ",No lead lines
MI0040566,GLENWOOD ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000715,BINGHAM FARMS," Inventory completed, no lead lines identified ",No lead lines
MI0000465,BAY AREA WATER SYSTEM,No service lines; wholesale only,No service lines; wholesale only
MI0000722,BIRCH RUN TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0000720,"BIRCH RUN, VILLAGE OF"," Inventory completed, no lead lines identified ",No lead lines
MI0040082,BIRCHWOOD ESTATES," Inventory completed, no lead lines identified ",No lead lines
MI0000725,BIRCHWOOD FARMS," Inventory completed, no lead lines identified ",No lead lines
MI0002760,GRAND HAVEN TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000731,BISHOP LAKE APARTMENTS," Inventory completed, no lead lines identified ",No lead lines
MI0000733,BLACK BEAR FARMS," Inventory completed, no lead lines identified ",No lead lines
MI0002910,GROSSE POINTE SHORES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000743,BLAIR TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0002945,HAMLET WEST PROPERTY OWNERS ASSOC," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000775,BLOOMFIELD HILLS," Inventory completed, no lead lines identified ",No lead lines
MI0000790,BLOOMFIELD TOWNSHIP,100% replaced,100% replaced
MI0003925,BLUE LAKE RESIDENCES," Inventory completed, no lead lines identified ",
MI0000794,BLUE SPRUCE APARTMENTS," Inventory completed, no lead lines identified ",
MI0000795,"BLUE WATER VILLAGE WELL SITE, LLC"," Inventory completed, no lead lines identified ",
MI0000798,BLUMFIELD-REESE WATER AUTH.," Inventory completed, no lead lines identified ",
MI0000799,BOYNAIRE LANDOWNERS ASSOCIATION," Inventory completed, no lead lines identified ",
MI0003685,L'ARBRE CROCHE CLUB," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000810,"BOYNE FALLS, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0003228,HOPE NETWORK - WEST LAKE- FACILITY," Inventory completed, no lead lines identified ",
MI0002980,HANCOCK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003005,HARBOR HILLS SUBDIVISION ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002450,BRIARCLIFF HOMEOWNERS ASSN," Inventory completed, no lead lines identified ",
MI0000840,BRIDGEPORT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000850,BRIDGMAN," Inventory completed, no lead lines identified ",
MI0000860,"BRIGHTON, CITY OF"," Inventory completed, no lead lines identified ",
MI0000877,BRILEY TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000890,BRITTON," Inventory completed, no lead lines identified ",
MI0040369,HARDY PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000894,BROOK OF HOUGHTON LAKE," Inventory completed, no lead lines identified ",
MI0000045,BROOKDALE ADRIAN," Inventory completed, no lead lines identified ",
MI0000920,BROOKLYN," Inventory completed, no lead lines identified ",
MI0003050,"HARRISVILLE, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003165,HILLS OF WALLOON ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003175,HILLVIEW ESTATES SUBDIVISION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000951,BRUCE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003240,HOWARD CITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000970,"BUCKLEY, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0040051,BUENA VISTA ESTATES," Inventory completed, no lead lines identified ",
MI0040342,HUNTERS CREEK ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003320,HURON TWP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002780,BURT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001005,BURT VIEW ASSOCIATION," Inventory completed, no lead lines identified ",
MI0001008,BURTCHVILLE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001010,"BURTON, CITY OF"," Inventory completed, no lead lines identified ",
MI0001015,BUTTERCUP SHORES,Inventory not received or data not complete,Inventory not received or incomplete
MI0001018,BUTTERFIELD WOODS SUBDIVISION," Inventory completed, no lead lines identified ",
MI0001019,BYRAM RIDGE," Inventory completed, no lead lines identified ",
MI0040520,HWY M553 MOBILE ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001023,BYRON-GAINES UTILITY AUTHORITY," Inventory completed, no lead lines identified ",
MI0040093,C & M MOBILE HOME COURT," Inventory completed, no lead lines identified ",
MI0040599,CADGEWITH FARMS," Inventory completed, no lead lines identified ",
MI0003342,INDEPENDENCE TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001037,CALEDONIA ESTATES," Inventory completed, no lead lines identified ",
MI0001039,CALEDONIA TOWNSHIP," Inventory completed, no lead lines identified ",
MI0003450,ISHPEMING TWP - WEST," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003510,K I SAWYER," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040068,CAMBRIDGE VILLAGE," Inventory completed, no lead lines identified ",
MI0001050,CAMDEN," Inventory completed, no lead lines identified ",
MI0001052,CAMP ARCADIA / LCA," Inventory completed, no lead lines identified ",
MI0040617,CANTERBURY ESTATES MHP," Inventory completed, no lead lines identified ",
MI0001100,CANTON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001110,"CAPAC, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0040675,CAPITAL CROSSINGS," Inventory completed, no lead lines identified ",
MI0001125,CARNEY-NADEAU WATER & SEWER AUTHORITY," Inventory completed, no lead lines identified ",
MI0040482,CARO RIVERVIEW MHP LLC," Inventory completed, no lead lines identified ",
MI0003560,"KALKASKA, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040368,LAKE FOREST PARK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003720,LAKE LINDEN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001180,"CARSONVILLE, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0001195,CASEVILLE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001190,"CASEVILLE, CITY OF"," Inventory completed, no lead lines identified ",
MI0001210,CASPIAN,100% replaced,100% replaced
MI0040106,LAKE MICHIGAN HEIGHTS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005234,CASS COUNTY WATER SYSTEM," Inventory completed, no lead lines identified ",
MI0003810,LAURIUM," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003940,LOCH ALPINE SANITARY AUTHORITY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001256,CECIL FARMS," Inventory completed, no lead lines identified ",
MI0001258,CEDAR CREEK TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001252,CEDAR CREEK WATER COMPANY," Inventory completed, no lead lines identified ",
MI0003598,KELLOGG BIOLOGICAL STATION," Inventory completed, no lead lines identified ",
MI0001260,CEDAR SPRINGS," Inventory completed, no lead lines identified ",
MI0040375,CEDARBROOK ESTATES," Inventory completed, no lead lines identified ",
MI0040619,CEDARFIELD MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0003968,LYON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0003970,MACKINAC ISLAND," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001310,CENTREVILLE," Inventory completed, no lead lines identified ",
MI0001325,CHALET DU PAW PAW CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040125,CHALET ESTATES MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0001327,CHARLESTON TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005180,MAN NOR FARMS SUBDIVISION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004060,"MAPLE RAPIDS, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0002200,MCMILLAN TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000170,CHARTER TOWNSHIP OF ALPENA," Inventory completed, no lead lines identified ",
MI0001790,CHARTER TOWNSHIP OF DELTA," Inventory completed, no lead lines identified ",
MI0003435,LAKE ISABELLA WATER DIST. #1," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001350,CHASSELL TOWNSHIP," Inventory completed, no lead lines identified ",
MI0000716,BINGHAM TOWNSHIP,Inventory not received or data not complete,Inventory not received or incomplete
MI0001355,CHATHAM," Inventory completed, no lead lines identified ",
MI0004310,"MESICK, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004400,"MILLINGTON, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001371,CHERRY CREEK VILLAGE," Inventory completed, no lead lines identified ",
MI0004590,MUSKEGON CO EASTSIDE WATER SYSTEM," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001390,CHESTERFIELD TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001397,CHESTNUT HILLS," Inventory completed, no lead lines identified ",
MI0001400,CHIKAMING TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040376,CHILDS LAKE ESTATES MHC," Inventory completed, no lead lines identified ",
MI0001416,CHOCOLAY BUNGALOWS,Inventory not received or data not complete,Inventory not received or incomplete
MI0040679,CIDERMILL CROSSINGS," Inventory completed, no lead lines identified ",
MI0004685,NEW BUFFALO TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004770,"NORTH BRANCH, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040377,CLARKSTON LAKE ESTATES," Inventory completed, no lead lines identified ",
MI0040155,NORTH MORRIS ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001450,CLAY TOWNSHIP," Inventory completed, no lead lines identified ",
MI0006901,"CLEAN WATER ASSOCIATION, INC."," Inventory completed, no lead lines identified ",
MI0001460,"CLIFFORD, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0001465,CLIMAX," Inventory completed, no lead lines identified ",
MI0040248,CLIMAX MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004810,"NORTHPORT, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040305,CLINTON ESTATES," Inventory completed, no lead lines identified ",
MI0004870,"NOVI, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004960,OLD FARM COLONY WATER ASSOCIATION," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001493,CLYDE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040225,COACHMANS COVE," Inventory completed, no lead lines identified ",
MI0004989,OLIVE/BLENDON TWPS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005035,ORION TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040379,COLLEGE HEIGHTS MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0001995,EAST LANSING MERIDIAN WATER AUTHORITY,No service lines; wholesale only,No service lines; wholesale only
MI0001535,COLOMA TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001572,COLOMBIERE CENTER," Inventory completed, no lead lines identified ",
MI0001540,COLON," Inventory completed, no lead lines identified ",
MI0040094,COLONIAL ACRES," Inventory completed, no lead lines identified ",
MI0005040,OSCODA TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001565,COLUMBIA LAKES ESTATES," Inventory completed, no lead lines identified ",
MI0001570,"COLUMBIAVILLE, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0001573,COMMERCE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0001580,CONCORD," Inventory completed, no lead lines identified ",
MI0040441,PARKWOOD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040126,CONWAY COMMONS MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0004760,PENNFIELD TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001620,COPPER CITY," Inventory completed, no lead lines identified ",
MI0001631,COPPER MEADOWS," Inventory completed, no lead lines identified ",
MI0005232,PENNFIELD TWP-CONVIS/VERONA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0070017,COREWELLHEALTH GR KALAMAZOO," Inventory completed, no lead lines identified ",
MI0001640,"CORUNNA, CITY OF",100% replaced,100% replaced
MI0001643,COTTAGE COVE ON ELK LAKE," Inventory completed, no lead lines identified ",
MI0005270,"PERRINTON, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001650,COTTRELLVILLE TOWNSHIP,100% replaced,100% replaced
MI0001655,COUNTRY ACRES HOMEOWNERS ASSOCIATION," Inventory completed, no lead lines identified ",
MI0005310,PEWAMO," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0004045,COUNTRY EDEN  L.L.C.," Inventory completed, no lead lines identified ",
MI0040591,COUNTRY HILL PINES," Inventory completed, no lead lines identified ",
MI0040488,COUNTRY HOLIDAY ESTATES," Inventory completed, no lead lines identified ",
MI0001648,COUNTRY LIVING ADULT FOSTER CARE," Inventory completed, no lead lines identified ",
MI0001653,COUNTRY LOG APTS," Inventory completed, no lead lines identified ",
MI0006042,SHERWOOD SHORES CONDOMINIUMS," Inventory completed, no lead lines identified ",
MI0040457,COUNTRY MANOR," Inventory completed, no lead lines identified ",
MI0040193,COUNTRY MANOR M H P," Inventory completed, no lead lines identified ",
MI0040004,COUNTRY MEADOWS," Inventory completed, no lead lines identified ",
MI0040220,COUNTRY PLACE," Inventory completed, no lead lines identified ",
MI0001649,COUNTRY PLACE SENIOR CARE CENTER," Inventory completed, no lead lines identified ",
MI0007065,WHITE LAKE TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040598,COUNTRY VIEW MOBILE HOME COMMUNITY," Inventory completed, no lead lines identified ",
MI0005330,"PINCONNING, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040418,COUNTRY VILLAGE," Inventory completed, no lead lines identified ",
MI0001652,COUNTRY VILLAGE APARTMENTS," Inventory completed, no lead lines identified ",
MI0040070,COUNTRYSIDE MOBILE COURT," Inventory completed, no lead lines identified ",
MI0040450,COUNTRYSIDE VILLAGE," Inventory completed, no lead lines identified ",
MI0040042,BARRY'S RESORT," Inventory completed, no lead lines identified ",
MI0001661,COVERT TOWNSHIP," Inventory completed, no lead lines identified ",
MI0040382,CRANBERRY LAKE MHC," Inventory completed, no lead lines identified ",
MI0002274,CREEKSIDE AT FENTON HEIGHTS," Inventory completed, no lead lines identified ",
MI0040119,CREEKSIDE MEADOWS OF ST. JOHNS," Inventory completed, no lead lines identified ",
MI0040144,FENTON LAKEFRONT COMMUNITY LLC,Inventory not received or data not complete,Inventory not received or incomplete
MI0040425,CRICKLEWOOD COURT," Inventory completed, no lead lines identified ",
MI0040417,CROCKERY MOBILE HOME PARK," Inventory completed, no lead lines identified ",
MI0005427,POLKTON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001666,CROOKED RIVER APARTMENTS," Inventory completed, no lead lines identified ",
MI0001067,CROSSROADS FOR YOUTH," Inventory completed, no lead lines identified ",
MI0006026,PORT SHELDON TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040357,CRYSTAL DOWNS MOBILE VILLAGE," Inventory completed, no lead lines identified ",
MI0003330,PORTAGE TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000700,POWELL TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0005575,PRESQUE ISLE HARBOR WATER CO.," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001715,CRYSTAL HIGHLANDS SUBDIVISION," Inventory completed, no lead lines identified ",
MI0001716,CRYSTAL MOUNTAIN RESORT & SPA," Inventory completed, no lead lines identified ",
MI0001694,CRYSTAL RIDGE CONDOMINIUM ASSOCIATION," Inventory completed, no lead lines identified ",
MI0061700,CURRY HOUSE ASSISTED LIVING CENTER," Inventory completed, no lead lines identified ",
MI0001718,"DANSVILLE, VILLAGE OF"," Inventory completed, no lead lines identified ",
MI0001720,"DAVISON, CITY OF"," Inventory completed, no lead lines identified ",
MI0005740,ROCKLAND TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000740,BLACKMAN TOWNSHIP," Inventory completed, no lead lines identified ",
MI0005750,ROCKWOOD," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001760,"DECKERVILLE, VILLAGE OF"," Inventory completed, no lead lines identified ",
